"product_name","product_price","source_website","brand","image_url","rating","original_price","saved_amount","description","how_to_use","ingredients"
"Maybelline Lash Sensational Firework Mascara","Rp159.900","Sociolla","Maybelline","https://www.sociolla.com/cdn-cgi/image/w=150,format=auto,dpr=1.45/https://images.soco.id/49b2975e-a09b-405c-83b5-f476a3250015-image-0-1728029499688","4.9","","","Maskara Lash Sensational Firework memberikan dampak bulu mata 360° yang luar biasa dan kilauan penuh. Kuas dengan bulu yang disusun dalam pola kembang api spiral untuk menembakkan bulu mata ke atas dan ke luar. Dilengkapi dengan formula berbasis gel yang diresapi dengan Pro-Vitamin B5. Dampak yang dapat dibangun dan tahan terhadap gumpalan. Bulu mata terasa terkondisi. Tahan noda. Pemakaian hingga 24 jam. Cocok untuk pemakaian kontak lensa juga.","",""
"Magnum Big Shot Mascara","Rp166.900","Sociolla","Maybelline","https://s3-ap-southeast-1.amazonaws.com/img-sociolla/img/p/1/4/3/4/5/14345-large_default.jpg","4.5","","","Yap! Maybelline selalu memiliki Mascara yang terbaik dan kali ini telah hadir Mascara Magnum Big Shot yaitu Mascara untuk bulu mata menjadi tebal dan dramatis dalam 1x pulas. Mascara untuk bulu mata tebal dramatis ini dilengkapi dengan collagen formula berfungsi untuk memberikan efek tebal yang dramatis. Kelebihan dari produk ini adalah Big shot brush yaitu aplikator yang dapat memberikan efek alis tebal hanya dalam sekali pulas","",""
"Volum Express The Colossal Waterproof Mascara","Rp94.900","Sociolla","Maybelline","https://www.sociolla.com/cdn-cgi/image/w=150,format=auto,dpr=1.45/https://images.soco.id/20724042283-1588928164448.png","4.7","","","MAYBELLINE VOLUM’ EXPRESS THE COLOSSAL WATERPROOF MASCARA Mascara waterproof yang mampu membuat bulu mata terlihat 9x lebih tebal! Manfaat: Diperkaya dengan kolagen serta dilengkapi dengan Mega Brush mampu membuat bulu mata terlihat 9x lebih tebal tanpa menggumpal berkat mega brush-nya. Formulanya telah diuji oleh opthalmologist, sehingga aman untuk pengguna kontak lens. Mengandung collagen di dalam formula Sikat Mega Brush untuk menebalkan volume bulu mata hingga 9x Opthalmologist-tested, aman untuk pengguna contact lens.","",""
"Lash Sensational Sky High Mascara","Rp154.900","Sociolla","Maybelline","https://www.sociolla.com/cdn-cgi/image/w=150,format=auto,dpr=1.45/https://images.soco.id/618880c0-96ff-45d5-be7c-2d2efbee95d6-.jpg","4.8","","","MAYBELLINE OFFICIAL Sky High Waterproof Mascara – 6mL Maskara Eye Makeup Black Smudgeproof Panjang Tebal Tahan 24 Jam • Maskara Viral Hadir Di Indonesia! MAYBELLINE OFFICIAL Sky High Waterproof Mascara dapat menjadikan bulu mata ekstra panjang dan tebal, sehingga tampak dramatis dari segala arah. MAYBELLINE OFFICIAL Sky High Waterproof Mascara, merupakan Maskara dengan formula waterproof yang mengandung ekstrak bambu untuk memanjangkan dan menebalkan bulu mata. Allergy &amp; Ophthalmologist tested. Cocok untuk mata sensitif dan pemakai lensa kontak. Warna: hitam KEUNGGULAN: • Bulu mata ekstra panjang & tebal • Bulu mata tampak dr.. See More","",""
"The Falsies Lash Lift","Rp164.900","Sociolla","Maybelline","https://www.sociolla.com/cdn-cgi/image/w=150,format=auto,dpr=1.45/https://images.soco.id/82262055-c631-4432-a7f6-20c4348694c6-.jpg","4.7","","","LASH LIFT EFFECT IN A MINUTE! Mudah, cepat, dan ga mahal! Maskara Waterproof dengan lash lift effect yang tahan hingga 16 jam. All Day Formula infused with fiber yang akan membuat bulu mata terlihat lebih panjang dan tebal. Bulu mata terlihat lentik dengan double curved lifting brush yang dapat menjangkau seluruh bulu matamu. Mata terlihat lebih fresh dengan lash lift effect","",""
"Volum Express Hyper Curl Mascara","Rp62.031","Sociolla","Maybelline","https://www.sociolla.com/cdn-cgi/image/w=150,format=auto,dpr=1.45/https://images.soco.id/6940cf43-2b82-46e3-9abd-9d75196ab62e-.jpg","4.6","Rp89.900","-Rp27.869","Maskara waterproof untuk bulu mata 4X lebih lentik natural, tanpa penjepit dan tahan 24 jam*. What It Is : Maybelline Hypercurl, maskara dengan formula khusus untuk melentikkan dan menebalkan bulu mata hingga 4X bahkan tanpa penjepit bulu mata atau eyelash extensions. BENEFITS - Tahan 24 jam* - Waterproof *Disclaimer: Hasil dapat berbeda-beda untuk setiap individu Highlight Product : - Bulu mata 4X lebih lentik dan tebal - Tahan hingga 24 jam - Waterproof","",""
"Sky High Cosmic Black Easy Wash Mascara Smudgeproof","Rp154.900","Sociolla","Maybelline","https://www.sociolla.com/cdn-cgi/image/w=150,format=auto,dpr=1.45/https://images.soco.id/48df2065-44cc-4a07-8a84-a369a47dd1cf-image-0-1719995822856","4.5","","","Maybelline Sky High Cosmic Black Easy Wash Mascara dapat menjadikan bulu mata ekstra panjang dan tebal, sehingga tampak dramatis dari segala arah. Maybelline Sky High Easy Wash Mascara, merupakan Maskara dengan formula Easy Wash (mudah dihapus dengan air hangat) yang mengandung ekstrak bambu untuk memanjangkan dan menebalkan bulu mata. KEUNGGULAN: 1.Bulu mata ekstra panjang &amp; tebal 2.Bulu mata tampak dramatis dari segala arah 3. Smudgeproof 4.Memiliki sikat fleksibel yang dapat menjangkau seluruh bagian bulu mata 5.Tahan hingga 24 jam 6.Mengandung formula yang dapat memanjangkan &amp; menebalkan bulu mata","",""
"Twinpack Superstay Matte Ink","Rp265.000","Sociolla","Maybelline","https://www.sociolla.com/cdn-cgi/image/w=150,format=auto,dpr=1.45/https://images.soco.id/322d0030-832b-4dc6-9d91-68f255f73df9-.jpg","","","","Bundle ini terdiri dari: 2 Superstay Matte Ink 1 Free Makeup Remover","",""
"Fit Me Matte and Poreless Setting Spray","Rp135.900","Sociolla","Maybelline","https://www.sociolla.com/cdn-cgi/image/w=150,format=auto,dpr=1.45/https://images.soco.id/e192c8d2-4b1f-49a5-adde-93beeeb9f077-.jpg","4.5","","","""Baru! Fit Me Setting Spray yang membuat makeup tahan hingga 24 jam dan tidak menimbulkan jerawat, walau pakai makeup dan masker seharian. Keunggulan: - 24HR Oil Control – bebas kilap hingga 24 Jam - Non-acnegenic: tidak menimbulkan jerawat - Mengandung Witch Hazel, yang dikenal dapat menenangkan kulit wajah Pro tips: - Gunakan setelah rangkaian Fit Me Matte + Poreless (Primer, Powder/ Foundation/Powder Foundation/Cushion, Concealer, dan Blush) untuk mendapatkan hasil yang maksimal Ukuran: 60ml","",""
"Fit Me Blush New Formula","Rp130.900","Sociolla","Maybelline","https://www.sociolla.com/cdn-cgi/image/w=150,format=auto,dpr=1.45/https://images.soco.id/42c61288-3841-4a7b-aadb-63d12b00b7f7-.jpg","4.8","","","Maybelline Fit Me Blush Make Up (Blush Untuk Wajah Lebih Cerah Dan Tahan Lama) Blush on Blendable yang terasa ringan sepanjang hari. Untuk rona pipi tahan lama dan ideal untuk kulit terang maupun gelap Benefits: - Beragam pilihan warna untuk semua skintone - Powder ringan mudah di-blend untuk hasil natural - Dermatologist tested. Allergy tested. Non-comedogenic.","",""
"Volume Lash Paradise","Rp204.500","Sociolla","Loreal Paris","https://s3-ap-southeast-1.amazonaws.com/img-sociolla/img/p/2/3/7/3/8/23738-large_default.jpg","4.7","","","Dapatkan Bulu Mata yang Tebal, Lentik dan Panjang. L'Oreal Paris Volume Lash Paradise merupakan Maskara yang tahan air, dapat menambah volume pada bulu mata, Memanjangkan bulu mata dari bagian belakang hingga depan diaplikasikan dengan bulu brush yang Lembut selembut sutra.","",""
"Line Tattoo Crayon Liner","Rp145.900","Sociolla","Maybelline","https://www.sociolla.com/cdn-cgi/image/w=150,format=auto,dpr=1.45/https://images.soco.id/c96f1b5a-9225-47fb-a497-24b11d97fa31-.jpg","4.7","","","Dapatkan hasil eyeliner yang natural dan cocok untuk digunakan sehari-hari dengan Maybelline Line Tattoo Crayon Pen Liner. Hadir dengan 2 warna (Black & Dark Brown), eyeliner pensil dengan tekstur empuk dan creamy ini dapat digunakan untuk berbagai area mata yaitu pada area garis bulu mata (lash line), waterline dan tightline. KEUNGGULAN: - Bertekstur empuk & creamy - Pensil mekanik, tidak perlu diraut - Tahan hingga 36 jam - Waterproof - Smudgeproof - Sweatproof - Sportproof - Mudah untuk digunakan Ukuran: 0.4g BPOM No: 1. Black - NA11211200934 2. Dark Brown - NA11211200935","",""
"Fit Me Fresh Tint","Rp114.900","Sociolla","Maybelline","https://www.sociolla.com/cdn-cgi/image/w=150,format=auto,dpr=1.45/https://images.soco.id/8b945cc1-814c-47b9-b2ca-66557a8f7e09-.jpg","4.6","","","NEW! YOUR 1-STEP TRICK FOR A FRESH & BRIGHT LOOK! Fit Me Fresh Tint with a 3-in-1 formula: Face Tint with natural coverage + Vitamin C Serum + SPF 50/PA+++ Benefits: Face tint with natural coverage that lasts all day! Soft matte finish with instant radiance Lightweight, comfortable, and breathable all day Contains Vitamin C Serum to instantly brighten the skin and improve it over time, helping to minimize dark spots SPF 50/PA+++ for maximum sun protection Non-comedogenic, so it won’t clog pores or cause acne Suitable for all skin types: Dry, Normal, Oily.. See More","",""
"Fit Me Matte and Poreless Primer","Rp139.900","Sociolla","Maybelline","https://www.sociolla.com/cdn-cgi/image/w=150,format=auto,dpr=1.45/https://images.soco.id/6dddfa3a-92d6-4c7e-9a98-06b2dd9f6710-.jpg","4.7","","","Baru! Maybelline Fit Me Matte and Poreless SPF 20 Primer. Mampu menyamarkan pori-pori dengan hasil yang matte dan halus - Matte hingga 16 jam - Menyamarkan pori-pori - Mengandung SPF 20 untuk perlindungan ekstra - Ringan dan halus"" MANFAAT: Mengandung 16HR Oil Control, sehingga wajah bebas kilap hingga 16 jam Dengan mattifying formula yang mengandung clay, mampu menyamarkan pori-pori dengan hasil matte yang terasa halus SPF 20 untuk perlindungan ekstra dari sinar UV","",""
"Superstay Matte Ink Pink Edition","Rp138.900","Sociolla","Maybelline","https://www.sociolla.com/cdn-cgi/image/w=150,format=auto,dpr=1.45/https://images.soco.id/94143098531-1582885428102.png","4.7","","","Lip cream terbaik dari Maybelline yang semakin memperkuat karaktermu dengan tekstur cair dan ink formula yang melembabkan serta memberikan hasil warna intens dan tahan lama. Lip cream matte dengan ink formula yang menghasilkan warna-warna intens. Tahan lama sampai 16 jam. Kini hadir dengan koleksi pilihan pink yang wajib kamu miliki. Manfaat: - Aplikator liquid lipstick berbentuk arrow yang unik. - Ink formula untuk hasil warna matte lip cream intens. - Tahan lama hingga 16 jam. Cara pemakaian: Langkah 1. Aplikasikan di bagian tengah bibir bagian atas lalu ikuti kontur bibir. Langkah 2. Pulas Super Stay Matte Ink di seluruh bagian bibir bawah. See More","",""
"Fit Me Matte and Poreless Cushion","Rp265.900","Sociolla","Maybelline","https://www.sociolla.com/cdn-cgi/image/w=150,format=auto,dpr=1.45/https://images.soco.id/6accd81d-4001-49c8-af52-76843ab49b33-image-0-1633669165851","4.7","","","""Baru! Fit Me Matte & Poreless Cushion dengan hasil matte yang natural. Tap untuk coverage instan hingga 20 jam*! Dengan oil control dan tetap terasa lembap di kulit. Keunggulan: - Coverage instan, tahan hingga 20 jam*. Mampu menutupi noda hitam, bekas jerawat, kemerahan, dan menyamarkan pori-pori - Mengandung mattifying clay dan oil control sehingga hasil terlihat matte natural - Terasa lembap tanpa membuat kulit menjadi kering - Terasa ringan dan nyaman di kulit - Mengandung green tea extract, yang mampu menjadi antioksidan - Dermatologically-tested. Cocok untuk kulit sensitif - Tidak menyumbat pori-pori - Dilengkapi dengan spons yang mudah diaplikasikan, .. See More","",""
"Maybelline Lash Sensational Firework Mascara","Rp159.900","Sociolla","Maybelline","https://www.sociolla.com/cdn-cgi/image/w=150,format=auto,dpr=1.45/https://images.soco.id/49b2975e-a09b-405c-83b5-f476a3250015-image-0-1728029499688","4.9","","","Maskara Lash Sensational Firework memberikan dampak bulu mata 360° yang luar biasa dan kilauan penuh. Kuas dengan bulu yang disusun dalam pola kembang api spiral untuk menembakkan bulu mata ke atas dan ke luar. Dilengkapi dengan formula berbasis gel yang diresapi dengan Pro-Vitamin B5. Dampak yang dapat dibangun dan tahan terhadap gumpalan. Bulu mata terasa terkondisi. Tahan noda. Pemakaian hingga 24 jam. Cocok untuk pemakaian kontak lensa juga.","",""
"Magnum Big Shot Mascara","Rp166.900","Sociolla","Maybelline","https://s3-ap-southeast-1.amazonaws.com/img-sociolla/img/p/1/4/3/4/5/14345-large_default.jpg","4.5","","","Yap! Maybelline selalu memiliki Mascara yang terbaik dan kali ini telah hadir Mascara Magnum Big Shot yaitu Mascara untuk bulu mata menjadi tebal dan dramatis dalam 1x pulas. Mascara untuk bulu mata tebal dramatis ini dilengkapi dengan collagen formula berfungsi untuk memberikan efek tebal yang dramatis. Kelebihan dari produk ini adalah Big shot brush yaitu aplikator yang dapat memberikan efek alis tebal hanya dalam sekali pulas","",""
